user_id,plan_tier,tenure_months,user_age,daily_active_days,avg_session_mins,feature_adoption_score,goals_set,social_connections,streak_days,support_tickets_30d,payment_failures,days_since_last_login,monthly_charge,total_revenue,churned
USR_00000,monthly,5,25,8.3,31.2,40.9,1,5,3,3,0,6,25.12,125.60000000000001,0
USR_00001,premium,4,36,13.9,2.9,79.6,1,1,3,0,0,0,49.54,198.16,0
USR_00002,annual,2,42,24.3,9.5,30.9,1,2,9,0,0,11,19.5,39.0,0
USR_00003,annual,11,22,10.7,40.8,29.9,1,1,4,1,0,8,21.19,233.09,0
USR_00004,monthly,7,45,13.7,20.7,3.7,1,7,2,1,0,12,31.96,223.72,0
USR_00005,monthly,24,30,10.5,11.6,39.7,1,3,4,2,0,1,30.58,733.92,1
USR_00006,monthly,1,24,14.7,1.0,24.5,1,4,3,0,0,0,26.95,26.95,0
USR_00007,premium,12,38,4.8,6.3,48.7,1,1,3,2,2,3,47.8,573.5999999999999,0
USR_00008,annual,17,28,11.1,12.6,67.3,1,2,5,0,0,1,17.43,296.31,0
USR_00009,annual,17,31,11.0,6.3,8.2,1,4,3,0,2,0,21.62,367.54,0
USR_00010,monthly,26,28,14.7,60.0,20.7,1,2,10,1,0,8,27.34,710.84,1
USR_00011,premium,15,25,30.0,16.8,68.4,0,2,8,0,0,4,50.02,750.3000000000001,0
USR_00012,annual,31,37,6.4,2.5,26.3,0,4,3,3,0,1,20.08,622.4799999999999,0
USR_00013,monthly,4,29,20.6,8.1,22.0,1,2,13,2,1,1,29.44,117.76,1
USR_00014,monthly,8,20,7.5,5.8,46.6,1,5,3,0,0,1,33.15,265.2,0
USR_00015,monthly,1,36,6.1,10.8,87.1,0,8,2,0,3,1,31.8,31.8,0
USR_00016,monthly,1,22,23.6,7.1,33.0,1,5,8,0,0,4,30.79,30.79,0
USR_00017,annual,3,22,28.2,3.3,46.6,0,3,10,0,0,14,20.58,61.739999999999995,0
USR_00018,monthly,1,41,2.6,15.5,61.4,0,6,0,1,0,0,28.7,28.7,1
USR_00019,monthly,3,22,4.0,1.4,17.4,1,6,2,0,0,1,27.23,81.69,1
USR_00020,annual,2,18,16.4,9.1,21.7,1,1,12,0,0,4,16.73,33.46,0
USR_00021,monthly,1,36,15.8,4.5,60.3,1,2,10,0,0,1,26.34,26.34,1
USR_00022,monthly,28,29,10.0,40.8,25.9,1,2,4,0,0,3,36.06,1009.6800000000001,1
USR_00023,monthly,1,30,4.9,4.3,23.6,1,3,2,0,0,8,30.54,30.54,1
USR_00024,monthly,15,29,11.9,5.0,4.0,1,3,3,2,0,8,29.99,449.84999999999997,0
USR_00025,annual,1,33,13.1,14.7,51.2,1,5,5,1,0,9,23.67,23.67,0
USR_00026,monthly,29,25,8.8,1.7,54.0,1,2,4,0,0,1,31.69,919.01,0
USR_00027,annual,26,43,9.2,4.7,45.4,0,3,6,1,0,7,23.92,621.9200000000001,0
USR_00028,annual,12,20,11.5,14.3,13.6,1,2,9,1,0,7,18.7,224.39999999999998,0
USR_00029,monthly,13,35,12.2,1.0,43.6,0,5,5,0,0,5,27.57,358.41,1
USR_00030,annual,1,37,6.5,4.5,20.0,1,1,4,0,0,1,20.44,20.44,1
USR_00031,monthly,50,25,12.9,1.0,16.4,0,4,11,0,0,1,26.21,1310.5,0
USR_00032,monthly,25,23,10.7,2.0,40.9,1,1,2,0,0,0,29.43,735.75,1
USR_00033,premium,27,40,19.1,11.1,35.5,1,3,10,0,0,4,48.11,1298.97,0
USR_00034,premium,12,24,24.1,7.3,77.7,1,2,5,0,0,1,49.73,596.76,0
USR_00035,annual,5,27,2.3,2.0,26.4,1,2,0,1,1,3,20.97,104.85,0
USR_00036,monthly,26,39,7.8,1.0,65.2,1,3,1,1,0,8,32.27,839.0200000000001,0
USR_00037,monthly,4,32,9.9,1.0,51.3,0,1,4,1,0,10,25.65,102.6,0
USR_00038,annual,9,18,15.9,1.1,10.6,1,4,5,1,3,7,15.86,142.74,1
USR_00039,monthly,1,45,19.4,1.2,33.6,0,3,7,0,0,3,31.74,31.74,0
USR_00040,monthly,30,27,14.8,1.1,34.7,0,3,4,1,0,12,32.51,975.3,0
USR_00041,monthly,1,28,24.5,1.0,44.7,0,2,8,1,0,10,26.86,26.86,1
USR_00042,monthly,3,34,17.8,14.3,20.8,0,2,6,0,1,4,29.21,87.63,0
USR_00043,premium,9,37,4.6,34.0,26.0,1,4,3,0,1,4,48.56,437.04,0
USR_00044,monthly,17,47,11.1,23.3,48.2,1,5,5,1,0,12,31.3,532.1,0
USR_00045,annual,11,18,16.7,3.7,18.0,0,3,8,0,0,12,18.74,206.14,1
USR_00046,monthly,3,38,6.3,2.7,61.1,0,1,2,1,0,8,31.9,95.69999999999999,1
USR_00047,annual,1,37,7.2,1.0,32.5,0,2,3,1,0,6,19.45,19.45,0
USR_00048,annual,16,30,8.6,2.0,59.5,1,1,3,0,0,1,17.58,281.28,0
USR_00049,monthly,50,38,4.8,10.1,34.2,0,6,1,0,0,6,26.9,1345.0,0
USR_00050,premium,19,39,20.4,60.0,34.8,0,6,13,0,0,1,56.13,1066.47,0
USR_00051,annual,7,20,12.3,23.5,38.4,1,3,3,1,0,10,25.39,177.73000000000002,0
USR_00052,premium,28,45,24.8,8.7,43.3,1,3,5,0,0,0,50.43,1412.04,0
USR_00053,premium,6,19,26.1,6.6,65.7,1,0,6,0,1,5,48.52,291.12,0
USR_00054,annual,8,22,5.7,1.9,74.7,1,1,2,0,0,8,21.29,170.32,1
USR_00055,premium,7,29,4.2,6.5,54.6,1,2,1,1,0,0,51.17,358.19,1
USR_00056,monthly,7,47,6.5,10.8,26.5,1,2,1,0,0,5,31.66,221.62,1
USR_00057,monthly,17,29,13.3,10.9,73.6,0,1,5,1,0,6,35.44,602.48,0
USR_00058,monthly,8,31,22.3,9.8,18.0,0,3,10,0,0,8,24.63,197.04,1
USR_00059,monthly,4,43,10.3,20.8,28.0,0,3,3,0,0,3,31.56,126.24,1
USR_00060,monthly,3,29,7.8,8.6,31.2,1,6,3,3,0,4,33.52,100.56,1
USR_00061,monthly,1,22,17.1,7.7,36.0,1,3,4,0,0,1,27.7,27.7,0
USR_00062,annual,10,28,4.0,4.4,44.0,1,1,3,0,0,2,21.97,219.7,0
USR_00063,monthly,3,42,8.8,2.4,79.3,1,3,6,1,0,12,32.01,96.03,1
USR_00064,monthly,1,32,9.5,1.0,20.5,1,6,7,0,0,4,34.11,34.11,0
USR_00065,annual,12,47,6.6,4.7,2.1,1,4,2,0,0,2,17.95,215.39999999999998,0
USR_00066,monthly,13,37,15.9,12.0,40.9,1,3,6,0,1,3,27.68,359.84,0
USR_00067,annual,16,26,11.4,9.8,21.0,1,1,2,0,0,0,24.66,394.56,0
USR_00068,monthly,8,32,6.1,9.1,24.2,0,5,3,0,0,0,34.53,276.24,1
USR_00069,premium,26,25,13.5,17.8,33.2,1,6,10,0,0,2,48.56,1262.56,1
USR_00070,annual,33,26,13.3,3.2,63.6,1,1,6,0,0,1,20.6,679.8000000000001,1
USR_00071,monthly,19,65,8.2,13.6,21.5,0,2,5,1,2,4,30.25,574.75,1
USR_00072,monthly,12,40,13.2,11.2,40.6,1,4,2,0,1,7,30.77,369.24,0
USR_00073,annual,4,38,9.2,5.0,46.2,1,0,3,0,0,2,16.22,64.88,0
USR_00074,annual,48,27,23.6,3.0,40.8,0,2,17,0,0,1,15.07,723.36,0
USR_00075,annual,3,44,12.1,9.9,22.1,1,4,8,0,0,14,24.86,74.58,0
USR_00076,annual,2,40,16.8,34.8,4.3,1,3,5,1,3,5,18.31,36.62,0
USR_00077,monthly,7,47,11.1,1.0,9.0,1,1,1,0,2,2,31.46,220.22,1
USR_00078,monthly,1,46,12.9,36.7,29.4,0,1,8,0,0,1,26.53,26.53,1
USR_00079,monthly,46,20,12.6,7.5,42.7,1,2,3,1,0,0,28.38,1305.48,0
USR_00080,premium,10,23,18.7,14.9,46.1,0,6,9,0,0,0,50.87,508.7,0
USR_00081,annual,9,23,4.2,19.5,34.4,1,9,1,1,0,11,17.56,158.04,0
USR_00082,monthly,12,24,14.0,2.0,39.7,0,5,6,2,0,10,23.89,286.68,1
USR_00083,monthly,8,34,16.9,1.0,42.3,0,4,4,2,0,4,24.8,198.4,0
USR_00084,monthly,1,27,12.9,1.7,17.4,1,2,6,1,3,1,29.12,29.12,1
USR_00085,monthly,11,48,3.5,5.0,51.3,1,3,2,0,0,5,30.76,338.36,0
USR_00086,annual,15,47,6.5,37.6,8.4,0,5,3,0,0,3,21.11,316.65,0
USR_00087,annual,6,31,21.8,1.0,75.7,1,1,5,1,2,3,19.22,115.32,0
USR_00088,premium,16,47,3.4,30.3,47.9,1,5,1,0,0,1,48.64,778.24,0
USR_00089,monthly,3,43,20.8,9.9,26.4,0,2,3,0,0,4,27.95,83.85,0
USR_00090,monthly,3,28,17.0,1.3,29.2,0,4,3,0,0,4,31.21,93.63,0
USR_00091,annual,2,18,2.6,2.0,23.4,0,2,1,0,0,3,19.35,38.7,0
USR_00092,annual,5,30,23.1,14.0,71.7,1,1,2,0,0,5,24.73,123.65,0
USR_00093,annual,22,26,12.5,11.3,32.5,1,1,5,0,0,2,20.77,456.94,0
USR_00094,annual,21,33,23.6,2.2,14.5,1,3,10,0,0,0,20.8,436.8,0
USR_00095,monthly,5,32,9.9,28.2,6.4,0,1,2,0,0,3,27.69,138.45000000000002,0
USR_00096,annual,10,32,3.9,1.7,20.2,0,3,2,1,0,7,21.44,214.4,0
USR_00097,monthly,15,36,6.5,8.6,10.1,1,5,1,2,0,3,29.31,439.65,0
USR_00098,monthly,3,22,6.0,9.0,18.4,1,4,3,0,0,0,26.22,78.66,1
USR_00099,monthly,2,35,17.0,24.5,11.0,1,6,6,0,0,3,29.16,58.32,0
USR_00100,monthly,42,28,8.8,1.0,25.2,1,3,1,0,0,6,31.65,1329.3,0
USR_00101,annual,11,33,3.3,1.8,50.6,1,2,0,0,0,2,15.0,165.0,0
USR_00102,monthly,47,39,3.6,2.2,23.8,0,7,2,0,0,1,31.84,1496.48,1
USR_00103,annual,4,22,26.1,1.0,26.2,0,5,7,0,0,6,21.22,84.88,0
USR_00104,premium,14,29,23.3,12.0,32.8,0,0,13,3,0,3,47.5,665.0,0
USR_00105,monthly,3,31,6.0,3.1,28.6,0,2,3,1,0,2,34.15,102.44999999999999,0
USR_00106,monthly,3,27,9.6,10.3,70.3,1,3,7,0,0,10,29.63,88.89,1
USR_00107,annual,8,39,5.9,18.3,11.8,0,3,3,1,0,3,18.58,148.64,0
USR_00108,monthly,4,26,14.7,6.3,34.5,0,2,0,0,0,5,32.24,128.96,1
USR_00109,monthly,2,27,1.8,17.6,30.6,1,2,1,0,0,4,30.75,61.5,0
USR_00110,monthly,3,26,9.2,18.1,25.1,0,2,6,0,0,4,32.92,98.76,1
USR_00111,monthly,1,40,15.8,3.7,80.4,1,3,12,0,0,4,26.8,26.8,0
USR_00112,premium,14,28,16.1,1.0,28.3,0,4,2,1,0,9,46.83,655.62,0
USR_00113,annual,8,35,11.0,1.3,36.5,1,2,3,0,1,1,21.58,172.64,0
USR_00114,annual,1,47,11.6,20.8,51.7,1,1,3,0,0,13,19.97,19.97,0
USR_00115,premium,2,31,7.3,6.2,50.1,1,3,3,1,0,2,58.25,116.5,0
USR_00116,annual,1,40,11.0,21.9,34.4,0,4,3,1,0,6,18.82,18.82,1
USR_00117,monthly,11,45,20.5,9.5,31.4,1,6,8,0,2,2,29.84,328.24,0
USR_00118,premium,1,40,24.1,2.6,35.0,0,4,9,1,0,6,54.6,54.6,0
USR_00119,annual,16,31,3.3,14.9,5.1,1,6,2,1,0,2,23.32,373.12,1
USR_00120,annual,1,37,19.0,9.8,40.8,1,6,9,1,0,3,19.19,19.19,1
